date,title,studio,daily_gross,theaters,total_gross
2017/01/01,Rogue One: A Star Wars Story,Walt Disney,16751857.0,4157.0,424987707.0
2017/01/01,Sing,Universal,13643825.0,4029.0,166497820.0
2017/01/01,Passengers,Sony Pictures,5883943.0,3478.0,61264152.0
2017/01/01,Moana,Walt Disney,3568636.0,2775.0,210046114.0
2017/01/01,Fences,Paramount Pi…,3412644.0,2301.0,29743615.0
2017/01/01,Collateral Beauty,Warner Bros.,1474268.0,2745.0,25816746.0
2017/01/01,Fantastic Beasts and Wher…,Warner Bros.,1449685.0,1842.0,224125258.0
2017/01/01,Office Christmas Party,Paramount Pi…,1322109.0,2441.0,51137285.0
2017/01/01,Arrival,Paramount Pi…,515591.0,545.0,92191690.0
2017/01/01,Doctor Strange,Walt Disney,231453.0,466.0,230107790.0
2017/01/01,The Accountant,Warner Bros.,75211.0,222.0,85931907.0
2017/01/01,Allied,Paramount Pi…,57020.0,163.0,39598941.0
2017/01/01,Storks,Warner Bros.,45699.0,235.0,72460549.0
2017/01/01,Almost Christmas,Universal,37880.0,169.0,42002805.0
2017/01/01,Silence,Paramount Pi…,34125.0,4.0,310680.0
2017/01/01,Jack Reacher: Never Go Back,Paramount Pi…,27578.0,133.0,58574515.0
2017/01/01,Live by Night,Warner Bros.,16576.0,4.0,111546.0
2017/01/01,Inferno,Sony Pictures,16222.0,102.0,34237873.0
2017/01/01,Sully,Warner Bros.,14701.0,94.0,124991036.0
2017/01/01,The Queen of Katwe,Walt Disney,6558.0,53.0,8857311.0
2017/01/01,The Magnificent Seven,Sony Pictures,2810.0,23.0,93423063.0
2017/01/01,The Polar Express,Warner Bros.,988.0,18.0,183429921.0
2017/01/02,Rogue One: A Star Wars Story,Walt Disney,15913674.0,4157.0,440901381.0
2017/01/02,Sing,Universal,14394090.0,4029.0,180891910.0
2017/01/02,Passengers,Sony Pictures,4913651.0,3478.0,66177803.0
2017/01/02,Moana,Walt Disney,4211205.0,2775.0,214257319.0
2017/01/02,Fences,Paramount Pi…,3070302.0,2301.0,32813917.0
2017/01/02,Fantastic Beasts and Wher…,Warner Bros.,1502481.0,1842.0,225627739.0
2017/01/02,Collateral Beauty,Warner Bros.,1245310.0,2745.0,27062056.0
2017/01/02,Office Christmas Party,Paramount Pi…,957833.0,2441.0,52095118.0
2017/01/02,Arrival,Paramount Pi…,489619.0,545.0,92681309.0
2017/01/02,Doctor Strange,Walt Disney,215258.0,466.0,230323048.0
2017/01/02,The Accountant,Warner Bros.,61200.0,222.0,85993107.0
2017/01/02,Storks,Warner Bros.,53198.0,235.0,72513747.0
2017/01/02,Allied,Paramount Pi…,48649.0,163.0,39647590.0
2017/01/02,Silence,Paramount Pi…,30704.0,4.0,341384.0
2017/01/02,Almost Christmas,Universal,28425.0,169.0,42031230.0
2017/01/02,Jack Reacher: Never Go Back,Paramount Pi…,25383.0,133.0,58599898.0
