title,calendar_date,studio,daily_gross,theaters,total_gross,release_year,title_clean,budget,genres,release_date,runtime,title_kaggle
102 Not Out,2018-05-04,Sony Pictures,128248.0,102.0,128248.0,2018,102 NOT OUT,,,,,
12 Strong,2018-01-18,Warner Bros.,900000.0,3002.0,900000.0,2018,12 STRONG,,,,,
1917,2019-12-25,Universal,251262.0,11.0,251262.0,2019,1917,,,,,
2001: A Space Odyssey (19…,2018-05-18,Warner Bros.,57057.0,4.0,56757057.0,2018,2001 A SPACE ODYSSEY 19,,,,,
A Beautiful Day in the Ne…,2019-11-21,Sony Pictures,900000.0,3235.0,900000.0,2019,A BEAUTIFUL DAY IN THE NE,,,,,
A Dog’s Journey,2019-05-17,Universal,2521285.0,3267.0,2521285.0,2019,A DOGS JOURNEY,,,,,
A Dog’s Purpose,2017-01-26,Universal,455000.0,3059.0,455000.0,2017,A DOGS PURPOSE,22000000.0,"[{'id': 35, 'name': 'Comedy'}, {'id': 18, 'name': 'Drama'}, {'id': 10751, 'name': 'Family'}, {'id': 14, 'name': 'Fantasy'}]",2017-01-19,100.0,A Dog's Purpose
A Dog’s Way Home,2019-01-10,Sony Pictures,535000.0,2657.0,535000.0,2019,A DOGS WAY HOME,,,,,
A Mermaid in Paris,2020-10-16,Sony Pictures,336.0,10.0,336.0,2020,A MERMAID IN PARIS,,,,,
A Quiet Place,2018-04-05,Paramount Pi…,4300000.0,3508.0,4300000.0,2018,A QUIET PLACE,,,,,
A Star is Born,2018-10-04,Warner Bros.,4550000.0,3686.0,4550000.0,2018,A STAR IS BORN,,,,,
A Wrinkle in Time,2018-03-09,Walt Disney,10208602.0,3980.0,10208602.0,2018,A WRINKLE IN TIME,,,,,
Abominable,2019-09-26,Universal,650000.0,2950.0,650000.0,2019,ABOMINABLE,,,,,
Abracadabra,2017-09-15,Sony Pictures,603.0,10.0,603.0,2017,ABRACADABRA,,,,,
Action Point,2018-06-01,Paramount Pi…,797422.0,2032.0,797422.0,2018,ACTION POINT,,,,,
Aladdin,2019-05-23,Walt Disney,7000000.0,4476.0,7000000.0,2019,ALADDIN,,,,,
All My Life,2020-12-04,Universal,141710.0,970.0,141710.0,2020,ALL MY LIFE,,,,,
All Saints,2017-08-24,Sony Pictures,70000.0,773.0,70000.0,2017,ALL SAINTS,,,,,
All the Money in the World,2017-12-25,Sony Pictures,2565393.0,2074.0,2565393.0,2017,ALL THE MONEY IN THE WORLD,,,,,
Allied,2017-01-01,Paramount Pi…,57020.0,163.0,39598941.0,2017,ALLIED,,,,,
Almost Christmas,2017-01-01,Universal,37880.0,169.0,42002805.0,2017,ALMOST CHRISTMAS,,,,,
Alpha,2018-08-17,Sony Pictures,3362816.0,2719.0,3362816.0,2018,ALPHA,,,,,
American Made,2017-09-28,Universal,960000.0,3024.0,960000.0,2017,AMERICAN MADE,,,,,
An Inconvenient Sequel,2017-07-28,Paramount Va…,61457.0,4.0,61457.0,2017,AN INCONVENIENT SEQUEL,,,,,
Annabelle Comes Home,2019-06-25,Warner Bros.,3500000.0,3525.0,3500000.0,2019,ANNABELLE COMES HOME,,,,,
Annabelle: Creation,2017-08-10,Warner Bros.,4000000.0,3502.0,4000000.0,2017,ANNABELLE CREATION,,,,,
